epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,905.688,1.59777,1.91068,1.20103,1,0.41531,0.79163,0.30454,1.87757,2.8028,1.30432,0.0009308,0.0009308,0.0009308
56,921.862,1.48029,1.48254,1.04884,0.94355,0.66905,0.83724,0.32091,1.90758,2.61786,1.33573,0.000911,0.000911,0.000911
57,938.028,1.48593,1.38831,1.11158,0.94355,0.66905,0.83724,0.32091,1.90758,2.61786,1.33573,0.0008912,0.0008912,0.0008912
58,954.034,1.44645,1.53518,1.06864,0.95264,0.80477,0.85656,0.32301,1.94783,2.49643,1.34985,0.0008714,0.0008714,0.0008714
59,970.152,1.27086,1.44238,1.02857,0.95264,0.80477,0.85656,0.32301,1.94783,2.49643,1.34985,0.0008516,0.0008516,0.0008516
60,986.167,1.33767,1.41772,1.05252,0.95451,0.83929,0.87269,0.337,1.99415,2.38559,1.37146,0.0008318,0.0008318,0.0008318
61,1002,1.52626,1.44543,1.13293,0.95451,0.83929,0.87269,0.337,1.99415,2.38559,1.37146,0.000812,0.000812,0.000812
62,1018.27,1.40838,1.49196,1.1511,0.86725,0.8,0.84534,0.3218,1.98588,2.24137,1.3644,0.0007922,0.0007922,0.0007922
63,1034.21,1.44843,1.36989,1.07164,0.86725,0.8,0.84534,0.3218,1.98588,2.24137,1.3644,0.0007724,0.0007724,0.0007724
64,1050.19,1.38686,1.27034,1.11646,0.89164,0.8,0.83119,0.33302,1.96408,2.09863,1.33361,0.0007526,0.0007526,0.0007526
65,1066.01,1.23346,1.33636,0.98331,0.89164,0.8,0.83119,0.33302,1.96408,2.09863,1.33361,0.0007328,0.0007328,0.0007328
66,1082.95,1.62705,1.38985,1.14621,0.85635,0.8,0.84622,0.31886,2.01135,2.07608,1.36271,0.000713,0.000713,0.000713
67,1100.94,1.50512,1.36229,1.09187,0.85635,0.8,0.84622,0.31886,2.01135,2.07608,1.36271,0.0006932,0.0006932,0.0006932
68,1117.58,1.39121,1.40665,1.02746,0.91098,0.81915,0.89649,0.29759,2.09628,2.07824,1.40038,0.0006734,0.0006734,0.0006734
69,1133.34,1.59515,1.41024,1.13961,0.91098,0.81915,0.89649,0.29759,2.09628,2.07824,1.40038,0.0006536,0.0006536,0.0006536
70,1149.35,1.47126,1.4869,1.07016,0.86966,0.76,0.84127,0.28834,2.12341,2.09483,1.41506,0.0006338,0.0006338,0.0006338
71,1165.18,1.26397,1.2797,1.00282,0.86966,0.76,0.84127,0.28834,2.12341,2.09483,1.41506,0.000614,0.000614,0.000614
72,1181.07,1.35294,1.29865,1.04446,0.79102,0.84,0.8189,0.28677,2.09965,1.99496,1.42174,0.0005942,0.0005942,0.0005942
73,1196.79,1.26854,1.3911,1.07589,0.79102,0.84,0.8189,0.28677,2.09965,1.99496,1.42174,0.0005744,0.0005744,0.0005744
74,1212.7,1.19379,1.37949,0.97607,0.83288,0.88,0.89855,0.31598,2.02692,1.83054,1.38937,0.0005546,0.0005546,0.0005546
75,1228.49,1.36788,1.29713,1.05368,0.83288,0.88,0.89855,0.31598,2.02692,1.83054,1.38937,0.0005348,0.0005348,0.0005348
76,1244.59,1.22497,1.38465,0.99756,0.87871,0.86971,0.93371,0.34821,1.98946,1.72666,1.35634,0.000515,0.000515,0.000515
77,1260.4,1.22761,1.15596,0.99354,0.87871,0.86971,0.93371,0.34821,1.98946,1.72666,1.35634,0.0004952,0.0004952,0.0004952
78,1276.23,1.17307,1.15168,0.98248,0.99175,0.88,0.9655,0.3533,1.99667,1.66096,1.35666,0.0004754,0.0004754,0.0004754
79,1292.22,1.21957,1.11582,1.02224,0.99175,0.88,0.9655,0.3533,1.99667,1.66096,1.35666,0.0004556,0.0004556,0.0004556
80,1308.19,1.31323,1.17108,1.09088,0.90495,0.84,0.90248,0.3376,2.00927,1.61092,1.35961,0.0004358,0.0004358,0.0004358
81,1324.06,1.15901,1.1966,1.03559,0.90495,0.84,0.90248,0.3376,2.00927,1.61092,1.35961,0.000416,0.000416,0.000416
82,1339.73,1.15942,1.03325,0.94734,0.87913,0.87304,0.90905,0.31946,2.03444,1.61202,1.38484,0.0003962,0.0003962,0.0003962
83,1355.74,1.11511,1.2167,1.01962,0.87913,0.87304,0.90905,0.31946,2.03444,1.61202,1.38484,0.0003764,0.0003764,0.0003764
84,1371.3,1.21813,1.16329,0.98772,0.80732,0.83809,0.85891,0.31215,2.10264,1.60184,1.41563,0.0003566,0.0003566,0.0003566
85,1387,1.16048,1.1654,0.94748,0.80732,0.83809,0.85891,0.31215,2.10264,1.60184,1.41563,0.0003368,0.0003368,0.0003368
86,1402.83,1.32939,1.35122,1.13917,0.83986,0.83918,0.86668,0.30447,2.13552,1.56957,1.42374,0.000317,0.000317,0.000317
87,1418.72,1.19197,1.34264,0.98704,0.83986,0.83918,0.86668,0.30447,2.13552,1.56957,1.42374,0.0002972,0.0002972,0.0002972
88,1434.56,1.25001,1.14735,0.98233,0.87985,0.87881,0.92434,0.29474,2.1649,1.50129,1.42003,0.0002774,0.0002774,0.0002774
89,1450.24,1.30719,1.3057,1.01711,0.87985,0.87881,0.92434,0.29474,2.1649,1.50129,1.42003,0.0002576,0.0002576,0.0002576
90,1466.07,1.44548,1.3597,1.06525,0.92167,0.94165,0.96286,0.32267,2.14795,1.50154,1.41635,0.0002378,0.0002378,0.0002378
91,1482.32,1.14313,1.40983,1.07119,0.92167,0.94165,0.96286,0.32267,2.14795,1.50154,1.41635,0.000218,0.000218,0.000218
92,1498.69,1.0857,1.42369,0.98943,0.88405,0.91506,0.91362,0.28886,2.14438,1.53735,1.4216,0.0001982,0.0001982,0.0001982
93,1514.46,1.3502,1.44626,1.11713,0.88405,0.91506,0.91362,0.28886,2.14438,1.53735,1.4216,0.0001784,0.0001784,0.0001784
94,1530.1,1.34066,1.66798,1.12479,0.88456,0.91954,0.91408,0.28975,2.14588,1.55102,1.42449,0.0001586,0.0001586,0.0001586
95,1545.57,1.35403,1.5384,1.20949,0.88456,0.91954,0.91408,0.28975,2.14588,1.55102,1.42449,0.0001388,0.0001388,0.0001388
96,1561.41,1.21985,1.48515,1.12194,0.8766,0.92,0.899,0.30302,2.1632,1.53194,1.43132,0.000119,0.000119,0.000119
97,1576.99,1.09058,1.37996,0.96864,0.8766,0.92,0.899,0.30302,2.1632,1.53194,1.43132,9.92e-05,9.92e-05,9.92e-05
98,1592.75,1.17592,1.41819,1.09138,0.90367,0.84,0.89447,0.30288,2.17068,1.51632,1.43141,7.94e-05,7.94e-05,7.94e-05
99,1608.34,1.20222,1.5328,1.08477,0.90367,0.84,0.89447,0.30288,2.17068,1.51632,1.43141,5.96e-05,5.96e-05,5.96e-05
100,1624.16,1.12119,1.45831,1.01582,0.90431,0.84,0.89464,0.29533,2.16978,1.51255,1.43122,3.98e-05,3.98e-05,3.98e-05
